2,2,1,19.43,149900,32,1
2,2,2,34.46,189900,32,1
1,2,2,18.3,119900,32,1
2,2,1,19.43,135900,32,1
2,2,2,43.2,154800,32,1
1,2,1,19.43,166900,32,1
2,2,1,19.27,149900,32,4
2,2,1,19.27,155800,32,4
2,2,1,19.27,129900,32,4
2,1,2,80.64,189800,9,1
2,1,2,45.12,96800,9,1
1,1,2,80,1680000,9,3
1,1,2,72.96,150000,9,1
2,1,2,49.05,1098000,9,3
1,1,2,38.88,73800,9,1
2,1,2,87.04,189800,9,1
1,1,2,80.64,175800,9,1
2,1,2,60.48,137800,9,1
2,1,2,87.04,169800,9,1
1,1,2,60.48,99800,9,1
1,1,2,85.4,179800,9,1
2,1,2,86.4,299750,9,1
1,1,1,47.3,89000,9,1
2,1,2,47.04,95800,9,1
1,1,2,71.7,141800,9,1
1,2,2,15.87,99800,9,1
2,2,2,26.6,135800,9,1
2,2,2,18.3,112800,9,1
3,2,2,30.08,268000,9,1
3,2,2,30.08,268000,9,1
2,2,2,31.8,289800,9,4
1,2,2,17.6,139800,9,1
1,2,2,18.3,119800,9,1
2,2,2,36.8,202800,9,1
2,2,2,26.6,135800,9,1
1,2,2,30.8,165800,9,1
3,2,2,18.3,147800,9,1
2,2,2,45.8,209800,9,1
2,2,2,18.3,140800,9,1
1,2,1,18.32,99800,9,1
4,1,2,100.1,389800,9,2
2,1,2,91.3,301800,9,2
3,1,2,103.36,389800,9,2
4,2,2,38.5,334800,9,2
2,2,2,45.8,319800,9,2
3,2,2,40.06,329800,9,2
1,1,2,51.5,89900,5,1
2,1,1,55,130000,5,2
1,1,1,30.2,39900,5,2
1,1,1,64.5,139900,5,2
1,1,2,35.2,139500,5,1
1,1,2,35.2,94500,5,1
1,1,2,15.86,55900,5,1
1,1,1,31.9,139800,5,1
1,1,1,31.9,116800,5,1
3,1,2,60.16,228000,23,1
3,1,1,90.58,177800,31,2
2,1,1,31.7,75800,31,2
1,1,1,150,399800,31,1
2,1,1,150,409800,31,1
2,1,1,150,349800,31,1
1,1,1,150,329800,31,1
1,1,1,38.54,66800,20,2
2,1,1,30.6,149900,14,2
2,1,1,72,269800,14,2
2,1,2,41.7,85800,14,3
2,1,2,41.7,79800,14,3
2,1,1,100,469800,35,2
1,1,1,16.8,28600,35,1
2,1,1,42,249800,35,2
2,1,2,38.5,249800,35,2
2,1,1,40,249800,35,2
2,1,2,80,249800,35,2
2,1,1,88,236800,35,2
1,1,1,16.8,28600,35,1
3,1,2,49.92,144800,35,1
2,2,1,19.4,139800,35,2
1,1,2,62.2,119800,44,1
3,1,2,84.5,359800,44,1
3,1,1,101.5,359800,44,1
2,1,1,87.5,209900,44,1
2,1,2,87.5,209900,44,1
2,1,1,98,309900,44,1
2,1,2,78.2,309900,44,1
1,1,1,66.5,157900,44,1
1,1,2,55,157900,44,1
1,1,1,86.2,209900,44,1
1,1,2,70.8,209900,44,1
2,1,1,66.2,148900,44,1
2,1,2,55.9,148900,44,1
2,1,2,60,206900,41,1
2,1,1,85,206900,41,1
2,1,2,75,498000,41,1
2,1,1,150,498000,41,1
2,1,2,75,358000,41,1
2,1,1,150,358000,41,1
4,1,2,75,298000,41,1
4,1,1,150,298000,41,1
1,1,2,75,458000,41,1
1,1,1,150,458000,41,1
2,1,2,75,468000,41,1
2,1,1,150,468000,41,1
2,1,1,100,386000,41,1
2,1,1,100,502000,41,1
2,1,2,40,129900,18,1
1,1,2,64.27,178800,18,1
1,1,1,78,178800,18,1
2,1,2,68.2,126800,18,1
1,1,2,64.84,159900,18,1
1,1,1,91,159900,18,1
2,1,1,38.54,73900,18,1
2,1,2,68.2,118800,18,1
2,1,1,81.57,118800,18,1
2,1,2,36.8,249800,25,1
3,1,1,102.7,559800,25,1
2,1,1,44.5,339800,25,1
2,1,1,72,166900,31,18
2,1,1,63,166900,31,18
2,1,2,67.7,155800,28,1
2,1,2,69.9,559800,28,1
1,1,2,78.5,193800,28,1
1,1,1,90,193800,28,1
2,1,2,69.2,149800,28,1
2,1,1,89.97,149800,28,1
1,1,2,41,69800,28,1
2,1,2,51.92,156800,31,27
2,1,1,85.97,156800,31,27
2,2,1,32.76,129800,31,27
2,1,2,76.6,339000,31,1
2,1,1,115,339000,31,1
1,1,1,120,610000,31,1
4,1,1,97,570000,31,1
1,1,1,16.5,37900,31,1
1,1,2,15.97,34800,31,1
1,1,2,11.52,36800,31,1
1,1,2,94.3,215900,31,1
1,1,1,101,215900,31,1
2,1,1,82.4,209900,10,2
4,1,1,84.8,237777,10,2
3,1,1,91,510000,10,2
2,1,1,84.8,280624,10,2
2,1,1,83.4,239888,10,2
1,1,1,77,139900,10,2
4,2,1,19.7,397000,10,2
